파라, 57, 146
아카, 67, 167
아가, 75, 155
나가, 73, 151
다타, 49, 164
다다, 65, 141
자차, 70, 154
자마, 62, 166
가나, 87, 177
사타, 73, 143
사바, 63, 155
라가, 83, 167
가사, 64, 181
자파, 51, 196
가사, 74, 181
타하, 77, 168
파차, 86, 189
파파, 93, 142
파마, 89, 154
타차, 77, 162
하나, 83, 192
파하, 84, 152
마나, 53, 174
바마, 54, 164
바다, 80, 190
나바, 64, 180
차마, 47, 185
라파, 57, 185
아타, 99, 180
사마, 89, 185
자타, 90, 158
카자, 85, 171
가마, 42, 182
나차, 72, 175
자나, 76, 171
타하, 51, 152
차다, 95, 156
차타, 95, 171
바하, 60, 178
마차, 47, 169
라카, 47, 160
자다, 62, 153
나다, 99, 141
카타, 79, 198
파사, 44, 164
자카, 57, 144
파차, 72, 164
파다, 67, 196
라파, 66, 143
라마, 71, 193
타다, 49, 167
아나, 82, 198
다자, 41, 178
아나, 78, 157
하카, 80, 199
사아, 73, 159
파나, 91, 140
아라, 76, 190
하하, 79, 158
나하, 58, 155
카가, 80, 168
파차, 59, 166
파다, 45, 195
아자, 55, 155
가아, 85, 163
차마, 81, 157
가아, 52, 197
라파, 44, 185
차마, 64, 175
타다, 95, 186
마아, 83, 180
마마, 96, 181
라자, 68, 155
아다, 43, 178
카차, 63, 167
라카, 59, 189
파라, 89, 174
마마, 88, 181
라아, 92, 186
카사, 97, 168
카라, 98, 191
나바, 48, 144
바다, 99, 172
아아, 56, 196
자타, 69, 164
자다, 64, 168
다카, 94, 185
바파, 88, 196
타바, 80, 171
자바, 41, 170
라하, 79, 146
파가, 84, 149
바라, 63, 188
아차, 44, 180
아차, 66, 181
하파, 82, 149
다다, 62, 143
다마, 56, 144
마파, 52, 160
차차, 63, 143
사나, 53, 188
나파, 78, 165
카파, 75, 186
가아, 78, 183
가카, 40, 153
사타, 77, 150
파차, 85, 162
라차, 85, 159
아카, 56, 179
아카, 88, 184
사가, 89, 187
사아, 60, 192
다나, 48, 197
하하, 75, 155
바차, 96, 167
나아, 46, 170
카라, 52, 199
가카, 85, 185
카다, 48, 164
마마, 46, 162
자마, 52, 141
바바, 53, 178
